Address,Latitude,Longitude,Airbnb URL,VRBO URL,Other Listing Site,Permit Number,Bedrooms,Guests,Parking Spaces,Agent
"8611 Whitefield Ave, Savannah, GA 31406",31.9874255,-81.1036068,,,,,,,,
"9240 GARLAND DR, SAVANNAH, GA 31406",31.9803637,-81.1069629,https://www.airbnb.com/rooms/1501030060746906896,https://www.vrbo.com/4865092,https://michaelwoodc.github.io/stvr-info-page/owners/cozy_corner_rentals/cozy_corner_rentals.html,,,,,
